permno,sorting_date,portfolio_size,portfolio_bm,portfolio_op,portfolio_inv,exchange,size
16756,2024-07-01,1,3,2,3,NYSE,1047.5037599999998
16765,2024-07-01,1,1,1,3,AMEX,92.49615
16773,2024-07-01,1,3,1,1,NASDAQ,29.96981
16776,2024-07-01,1,2,1,3,NASDAQ,59.90125
16778,2024-07-01,1,1,1,1,NASDAQ,4.165
16779,2024-07-01,1,3,1,3,NYSE,416.33126
16784,2024-07-01,1,2,3,3,NASDAQ,394.7468
16788,2024-07-01,1,1,1,1,NASDAQ,1.5543
16792,2024-07-01,1,1,1,1,NASDAQ,246.57674999999998
16793,2024-07-01,1,1,1,1,NASDAQ,7.033924
16805,2024-07-01,1,1,1,3,NASDAQ,155.69694
16816,2024-07-01,1,2,1,2,NASDAQ,2654.31496
16818,2024-07-01,1,2,1,3,NASDAQ,226.69775
16819,2024-07-01,1,2,2,3,NASDAQ,67.329375
16820,2024-07-01,1,3,1,1,NASDAQ,39.88875
16824,2024-07-01,1,1,1,1,NASDAQ,32.59982
16827,2024-07-01,1,1,3,3,NASDAQ,653.54956
16828,2024-07-01,1,3,2,2,NASDAQ,342.00342
16829,2024-07-01,1,1,1,1,NASDAQ,731.68144
16853,2024-07-01,1,3,2,3,NASDAQ,210.185
16857,2024-07-01,1,2,1,1,NASDAQ,105.4891825
16866,2024-07-01,1,3,3,2,NYSE,240.72916
16874,2024-07-01,1,1,3,2,NYSE,859.23396
16887,2024-07-01,1,1,1,1,NASDAQ,1.8333437000000001
16895,2024-07-01,1,2,2,2,NASDAQ,325.25519
16903,2024-07-01,1,1,1,1,NASDAQ,16.128354
16905,2024-07-01,1,3,2,1,NYSE,1903.34376
16920,2024-07-01,1,2,2,2,NYSE,181.07946
16921,2024-07-01,1,3,1,2,NASDAQ,150.18816
16922,2024-07-01,1,3,2,1,NASDAQ,158.013
16923,2024-07-01,1,1,1,3,NASDAQ,606.3057
16961,2024-07-01,1,2,2,2,NYSE,1049.53485
